schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/1,Essence,FREE,2026-09-11T01:58:18.017101+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/2,Glamour Beauty,FREEMIUM,2026-09-11T01:58:18.017501+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/3,Velvet Touch,FREE,2026-09-11T01:58:18.017590+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/4,Chic Cosmetics,ENTERPRISE,2026-09-11T01:58:18.017611+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/5,Nail Couture,PAID,2026-09-11T01:58:18.017634+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/6,Calvin Klein,ENTERPRISE,2026-09-11T01:58:18.017653+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/7,Chanel,ENTERPRISE,2026-09-11T01:58:18.017683+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/8,Dior,FREEMIUM,2026-09-11T01:58:18.017700+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/9,Dolce & Gabbana,FREEMIUM,2026-09-11T01:58:18.017719+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/10,Gucci,PAID,2026-09-11T01:58:18.017743+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/11,Annibale Colombo,PAID,2026-09-11T01:58:18.017762+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/12,Annibale Colombo,FREE,2026-09-11T01:58:18.017780+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/13,Furniture Co.,FREEMIUM,2026-09-11T01:58:18.023507+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/14,Knoll,PAID,2026-09-11T01:58:18.023527+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/15,Bath Trends,ENTERPRISE,2026-09-11T01:58:18.023537+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/16,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.023546+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/17,Unknown Startup,PAID,2026-09-11T01:58:18.023554+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/18,Unknown Startup,PAID,2026-09-11T01:58:18.023561+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/19,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.023570+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/20,Unknown Startup,FREE,2026-09-11T01:58:18.023580+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/21,Unknown Startup,FREE,2026-09-11T01:58:18.023588+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/22,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.023595+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/23,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.023605+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/24,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.023613+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/25,Unknown Startup,FREE,2026-09-11T01:58:18.023621+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/26,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.023628+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/27,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.023638+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/28,Unknown Startup,FREE,2026-09-11T01:58:18.023645+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/29,Unknown Startup,FREE,2026-09-11T01:58:18.023652+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/30,Unknown Startup,FREE,2026-09-11T01:58:18.023664+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/31,Unknown Startup,PAID,2026-09-11T01:58:18.023694+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/32,Unknown Startup,PAID,2026-09-11T01:58:18.023712+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/33,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.023731+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/34,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.023750+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/35,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.023772+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/36,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.023794+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/37,Unknown Startup,PAID,2026-09-11T01:58:18.023819+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/38,Unknown Startup,PAID,2026-09-11T01:58:18.023837+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/39,Unknown Startup,FREE,2026-09-11T01:58:18.023854+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/40,Unknown Startup,FREE,2026-09-11T01:58:18.024018+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/41,Unknown Startup,FREE,2026-09-11T01:58:18.024116+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/42,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.024140+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/43,Unknown Startup,PAID,2026-09-11T01:58:18.024165+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/44,Unknown Startup,PAID,2026-09-11T01:58:18.024185+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/45,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.024204+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/46,Unknown Startup,FREE,2026-09-11T01:58:18.024223+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/47,Unknown Startup,FREE,2026-09-11T01:58:18.024245+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/48,Unknown Startup,PAID,2026-09-11T01:58:18.024270+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/49,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.024295+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/50,Unknown Startup,PAID,2026-09-11T01:58:18.024327+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/51,Unknown Startup,PAID,2026-09-11T01:58:18.024347+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/52,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.024372+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/53,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.024392+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/54,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.024413+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/55,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.024436+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/56,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.024457+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/57,Unknown Startup,PAID,2026-09-11T01:58:18.024475+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/58,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.024496+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/59,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.024517+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/60,Unknown Startup,FREEMIUM,2026-09-11T01:58:18.024537+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/61,Unknown Startup,PAID,2026-09-11T01:58:18.024562+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/62,Unknown Startup,FREE,2026-09-11T01:58:18.024585+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/63,Unknown Startup,ENTERPRISE,2026-09-11T01:58:18.024608+00:00
1.0,PRODUCT,Open Product Directory,https://dummyjson.com/products/64,Unknown Startup,PAID,2026-09-11T01:58:18.024628+00:00
