schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,A Deep Reinforcement Learning Approach for Ramp Metering Based on Traffic Video Data,"Bing Liu, Yu Tang, Yuxiong Ji, Yu Shen, Yuchuan Du",http://arxiv.org/abs/2012.12104v1,,,2020-12-09T05:08:41,2026-09-10T19:42:28.408132
1.0,RESEARCH_PAPER,Rethink AI-based Power Grid Control: Diving Into Algorithm Design,"Xiren Zhou, Siqi Wang, Ruisheng Diao, Desong Bian, Jiahui Duan, Di Shi",http://arxiv.org/abs/2012.13026v1,,,2020-12-23T23:38:41,2026-09-10T19:42:28.408225
1.0,RESEARCH_PAPER,Fuzzy Commitments Offer Insufficient Protection to Biometric Templates Produced by Deep Learning,"Danny Keller, Margarita Osadchy, Orr Dunkelman",http://arxiv.org/abs/2012.13293v1,,,2020-12-24T15:28:33,2026-09-10T19:42:28.408287
1.0,RESEARCH_PAPER,Generalization in portfolio-based algorithm selection,"Maria-Florina Balcan, Tuomas Sandholm, Ellen Vitercik",http://arxiv.org/abs/2012.13315v1,,,2020-12-24T16:33:17,2026-09-10T19:42:28.408326
1.0,RESEARCH_PAPER,"I like fish, especially dolphins: Addressing Contradictions in Dialogue Modeling","Yixin Nie, Mary Williamson, Mohit Bansal, Douwe Kiela, Jason Weston",http://arxiv.org/abs/2012.13391v2,,,2020-12-24T18:47:49,2026-09-10T19:42:28.408361
1.0,RESEARCH_PAPER,Skeleton-based Approaches based on Machine Vision: A Survey,"Jie Li, Binglin Li, Min Gao",http://arxiv.org/abs/2012.12447v1,https://github.com/amranx/Evaluation-of-Skeleton-based-Human-Action-Recognition,0.0,2020-12-23T02:03:37,2026-09-10T19:42:28.408412
1.0,RESEARCH_PAPER,Overview of FPGA deep learning acceleration based on convolutional neural network,Simin Liu,http://arxiv.org/abs/2012.12634v1,,,2020-12-23T12:44:24,2026-09-10T19:42:28.408445
1.0,RESEARCH_PAPER,Modelling Human Routines: Conceptualising Social Practice Theory for Agent-Based Simulation,"Rijk Mercuur, Virginia Dignum, Catholijn M. Jonker",http://arxiv.org/abs/2012.11903v1,,,2020-12-22T10:06:47,2026-09-10T19:42:28.408477
1.0,RESEARCH_PAPER,Dynamic-K Recommendation with Personalized Decision Boundary,"Yan Gao, Jiafeng Guo, Yanyan Lan, Huaming Liao",http://arxiv.org/abs/2012.13569v1,,,2020-12-25T13:02:57,2026-09-10T19:42:28.408508
1.0,RESEARCH_PAPER,Compliance Generation for Privacy Documents under GDPR: A Roadmap for Implementing Automation and Machine Learning,"David Restrepo Amariles, Aurore Clément Troussel, Rajaa El Hamdani",http://arxiv.org/abs/2012.12718v1,,,2020-12-23T14:46:51,2026-09-10T19:42:28.408537
1.0,RESEARCH_PAPER,PaXNet: Dental Caries Detection in Panoramic X-ray using Ensemble Transfer Learning and Capsule Classifier,"Arman Haghanifar, Mahdiyar Molahasani Majdabadi, Seok-Bum Ko",http://arxiv.org/abs/2012.13666v1,,,2020-12-26T03:00:35,2026-09-10T19:42:28.408567
